Substationcode,Circlecode,Transformervolt rated,Maxvolt actual,Minvolt actual,Max volt permissible,Min volt permissible,Deviation max volt,Deviation min volt,Status max volt,Status min volt
7030017,703,33,34.89,32.09,36.3,29.7,1.41,-2.39,1,1
7040001,704,11,11.6,10.8,12.1,9.9,0.5,-0.9,1,1
7040002,704,11,11.8,10.3,12.1,9.9,0.3,-0.4,1,1
7040003,704,11,11.5,10.2,12.1,9.9,0.6,-0.3,1,1
7040004,704,11,11.3,11,12.1,9.9,0.8,-1.1,1,1
7040005,704,11,11,11,12.1,9.9,1.1,-1.1,1,1
7040006,704,33,34.8,32.7,36.3,29.7,1.5,-3,1,1
7040007,704,11,11.6,10.9,12.1,9.9,0.5,-1,1,1
7040008,704,11,12,10.3,12.1,9.9,0.1,-0.4,1,1
7040009,704,11,11.2,10.3,12.1,9.9,0.9,-0.4,1,1
7040010,704,11,11.8,9,12.1,9.9,0.3,0.9,1,0
7040011,704,33,35,32.5,36.3,29.7,1.3,-2.8,1,1
7040012,704,11,11.8,10,12.1,9.9,0.3,-0.1,1,1
7040013,704,11,11.4,10.8,12.1,9.9,0.7,-0.9,1,1
7040014,704,11,11.6,9.2,12.1,9.9,0.5,0.7,1,0
7040015,704,11,11.4,11.8,12.1,9.9,0.7,-1.9,1,1
7040016,704,11,11.8,10.2,12.1,9.9,0.3,-0.3,1,1
7040017,704,11,11.9,10.8,12.1,9.9,0.2,-0.9,1,1
7040018,704,11,11.2,11.2,12.1,9.9,0.9,-1.3,1,1
7040019,704,11,11.2,11.2,12.1,9.9,0.9,-1.3,1,1
7040020,704,11,13.4,9.5,12.1,9.9,-1.3,0.4,0,0
7040021,704,11,12.4,10.2,12.1,9.9,-0.3,-0.3,0,1
7040022,704,11,11.8,11.2,12.1,9.9,0.3,-1.3,1,1
8020001,802,11,11.5,11,12.1,9.9,0.6,-1.1,1,1
8020002,802,11,12,9.8,12.1,9.9,0.1,0.1,1,0
8020003,802,11,11.6,10.9,12.1,9.9,0.5,-1,1,1
8020004,802,11,11.2,11,12.1,9.9,0.9,-1.1,1,1
8020005,802,11,11.6,10.8,12.1,9.9,0.5,-0.9,1,1
8020006,802,11,11,10.9,12.1,9.9,1.1,-1,1,1
8020007,802,11,12.4,10.4,12.1,9.9,-0.3,-0.5,0,1
8020008,802,11,11,10.4,12.1,9.9,1.1,-0.5,1,1
8020009,802,11,12,11,12.1,9.9,0.1,-1.1,1,1
8020010,802,11,11.6,10.8,12.1,9.9,0.5,-0.9,1,1
8020011,802,11,11.4,10.2,12.1,9.9,0.7,-0.3,1,1
8020012,802,11,12.6,10.2,12.1,9.9,-0.5,-0.3,0,1
8020013,802,11,12.2,10.6,12.1,9.9,-0.1,-0.7,0,1
8020014,802,11,11.8,10.4,12.1,9.9,0.3,-0.5,1,1
8020015,802,33,34.5,33,36.3,29.7,1.8,-3.3,1,1
8020016,802,33,34.5,32,36.3,29.7,1.8,-2.3,1,1
8020017,802,22,22.8,21.5,24.2,19.8,1.4,-1.7,1,1
8020018,802,11,11.3,11,12.1,9.9,0.8,-1.1,1,1
8020019,802,11,11,10.8,12.1,9.9,1.1,-0.9,1,1
8020020,802,11,11.6,11,12.1,9.9,0.5,-1.1,1,1
8020021,802,11,11.4,10.8,12.1,9.9,0.7,-0.9,1,1
8020022,802,11,11.5,10.8,12.1,9.9,0.6,-0.9,1,1
8020023,802,11,11.6,10.8,12.1,9.9,0.5,-0.9,1,1
8020024,802,11,11.9,11.2,12.1,9.9,0.2,-1.3,1,1
8020025,802,11,11.8,10,12.1,9.9,0.3,-0.1,1,1
8020026,802,11,11.2,11,12.1,9.9,0.9,-1.1,1,1
8020027,802,11,11.8,10,12.1,9.9,0.3,-0.1,1,1
8020028,802,11,11.4,10.9,12.1,9.9,0.7,-1,1,1
8020029,802,11,11.5,10,12.1,9.9,0.6,-0.1,1,1
8020030,802,33,34.5,31.5,36.3,29.7,1.8,-1.8,1,1
8020031,802,11,11.3,11,12.1,9.9,0.8,-1.1,1,1
8020032,802,11,12.4,10.6,12.1,9.9,-0.3,-0.7,0,1
8020033,802,11,11.7,9.5,12.1,9.9,0.4,0.4,1,0
8020034,802,11,11.8,10.2,12.1,9.9,0.3,-0.3,1,1
8030001,803,230,230,210,253,207,23,3,1,1
8030002,803,22,22.4,19.6,24.2,19.8,1.8,0.2,1,0
8030003,803,22,23.5,19,24.2,19.8,0.7,0.8,1,0
8030004,803,22,23,20,24.2,19.8,1.2,-0.2,1,1
8030005,803,22,24,18.2,24.2,19.8,0.2,1.6,1,0
8030007,803,11,12.2,9.6,12.1,9.9,-0.1,0.3,0,0
8030008,803,11,12,10.6,12.1,9.9,0.1,-0.7,1,1
8030009,803,11,12.2,9,12.1,9.9,-0.1,0.9,0,0
8030010,803,11,12.6,9,12.1,9.9,-0.5,0.9,0,0
8030011,803,33,34.7,29.43,36.3,29.7,1.6,0.27,1,0
8030012,803,11,11.8,10.2,12.1,9.9,0.3,-0.3,1,1
8030013,803,22,24.5,19.5,24.2,19.8,-0.3,0.3,0,0
8030014,803,22,24,20,24.2,19.8,0.2,-0.2,1,1
8030015,803,22,26,19,24.2,19.8,-1.8,0.8,0,0
8030016,803,11,12.2,9.4,12.1,9.9,-0.1,0.5,0,0
8030017,803,11,11.8,9,12.1,9.9,0.3,0.9,1,0
8030018,803,22,23,21,24.2,19.8,1.2,-1.2,1,1
8030020,803,22,22.6,20,24.2,19.8,1.6,-0.2,1,1
8030021,803,22,23.5,20,24.2,19.8,0.7,-0.2,1,1
8030022,803,22,24.4,18.8,24.2,19.8,-0.2,1,0,0
8030023,803,22,23,21,24.2,19.8,1.2,-1.2,1,1
8030024,803,22,26,19,24.2,19.8,-1.8,0.8,0,0
